Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
HEI,2018-10-31,83.83,53355000.0,2018-10-31,1018342000,531611000.0,2018,1.12,0.08660000000000001,0.19815541447039742,0.015438614925044829,4472749650.0,0.0728016138266423
HELE,2019-02-28,112.11,24946046.0,2019-02-28,652898000,318900000.0,2018,0.93,0.07615,0.07327659574468082,0.014179871894231566,2796701217.06,0.06385745465435834
HIBB,2019-01-31,16.34,18285688.0,2019-01-31,210016000,1994000.0,2018,1.6,0.11300000000000002,0.24327706480643274,-6.394750876123724e-05,298788141.92,0.06633682306435892
HIL,2018-12-31,3.08,55558243.0,2018-12-31,170324000,44587000.0,2018,1.85,0.12675,-0.16134434590644386,0.024628942486085343,171119388.44,0.07322840134350325
HLF,2018-12-31,58.95,142800000.0,2018-12-31,3513200000,1774900000.0,2018,1.01,0.08055000000000001,0.3610512710038777,0.03633838096322441,8418060000.0,0.0652847472102695
HLT,2018-12-31,71.8,294815890.0,2018-12-31,13437000000,7266000000.0,2018,1.25,0.09375,0.2866419294990723,0.021812160452481955,21167780902.0,0.06403798844553367
HMHC,2018-12-31,8.86,123587820.0,2018-12-31,1726654000,755649000.0,2018,1.27,0.09484999999999999,-0.04244653420294253,0.01973336870038815,1094988085.2,0.04634785310552612
HMTV,2018-12-31,12.14,39417191.0,2018-12-31,267868000,205090000.0,2018,0.87,0.07285,-19.526615969581748,0.035779861722938164,478524698.74,0.056849572048118184
HNI,2018-12-31,35.43,43582000.0,2018-12-31,838585000,249355000.0,2018,1.15,0.08825,0.21393135396925667,0.00890061234102685,1544110260.0,0.05966529989445649
HNRG,2018-12-31,5.07,30245000.0,2018-12-31,256625000,155655000.0,2018,0.26,0.0393,-1.149182177100959,0.050141334632245495,153342150.0,0.03949508465495345
